preyID,Eaten_day,outcome,Rx,sal
10,4,1,1x,47
1,1,1,2x,18
2,1,1,2x,18
3,1,1,2x,18
4,2,1,2x,18
5,3,1,2x,18
6,4,1,2x,18
7,5,1,2x,18
8,5,1,2x,18
9,5,0,2x,18
10,5,0,2x,18
1,1,1,2x,19
2,1,1,2x,19
3,1,1,2x,19
4,1,1,2x,19
5,1,1,2x,19
6,1,1,2x,19
7,5,1,2x,19
8,5,1,2x,19
9,5,1,2x,19
10,5,1,2x,19
1,1,1,2x,28
2,1,1,2x,28
3,4,1,2x,28
4,5,0,2x,28
5,5,0,2x,28
6,5,0,2x,28
7,5,0,2x,28
8,5,0,2x,28
9,5,0,2x,28
10,5,0,2x,28
1,1,1,3x,8
2,1,1,3x,8
3,1,1,3x,8
4,2,1,3x,8
5,2,1,3x,8
6,3,1,3x,8
7,3,1,3x,8
8,3,1,3x,8
9,3,1,3x,8
10,3,1,3x,8
1,1,1,3x,31
2,1,1,3x,31
3,1,1,3x,31
4,1,1,3x,31
5,2,1,3x,31
6,2,1,3x,31
7,2,1,3x,31
8,3,1,3x,31
9,3,1,3x,31
10,5,0,3x,31
